Kod;Nazwa;Rok;Kategoria;Jednostka;Value
200000;DOLNOŚLĄSKIE;2008;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4457.0
200000;DOLNOŚLĄSKIE;2008;przeciwko życiu i zdrowiu;-;2742.0
200000;DOLNOŚLĄSKIE;2009;o charakterze gospodarczym;-;11169.0
200000;DOLNOŚLĄSKIE;2009;o charakterze kryminalnym;-;77967.0
200000;DOLNOŚLĄSKIE;2009;ogółem;-;109336.0
200000;DOLNOŚLĄSKIE;2009;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;15936.0
200000;DOLNOŚLĄSKIE;2009;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;16054.0
200000;DOLNOŚLĄSKIE;2009;przeciwko mieniu;-;60385.0
200000;DOLNOŚLĄSKIE;2009;przeciwko rodzinie i opiece;-;3430.0
200000;DOLNOŚLĄSKIE;2009;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4498.0
200000;DOLNOŚLĄSKIE;2009;przeciwko życiu i zdrowiu;-;2705.0
200000;DOLNOŚLĄSKIE;2010;o charakterze gospodarczym;-;14674.0
200000;DOLNOŚLĄSKIE;2010;o charakterze kryminalnym;-;81788.0
200000;DOLNOŚLĄSKIE;2010;ogółem;-;114342.0
200000;DOLNOŚLĄSKIE;2010;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;14104.0
200000;DOLNOŚLĄSKIE;2010;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;14201.0
200000;DOLNOŚLĄSKIE;2010;przeciwko mieniu;-;67110.0
200000;DOLNOŚLĄSKIE;2010;przeciwko rodzinie i opiece;-;3220.0
200000;DOLNOŚLĄSKIE;2010;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4375.0
200000;DOLNOŚLĄSKIE;2010;przeciwko życiu i zdrowiu;-;2829.0
200000;DOLNOŚLĄSKIE;2011;o charakterze gospodarczym;-;11816.0
200000;DOLNOŚLĄSKIE;2011;o charakterze kryminalnym;-;83504.0
200000;DOLNOŚLĄSKIE;2011;ogółem;-;113332.0
200000;DOLNOŚLĄSKIE;2011;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;13984.0
200000;DOLNOŚLĄSKIE;2011;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;14120.0
200000;DOLNOŚLĄSKIE;2011;przeciwko mieniu;-;65060.0
200000;DOLNOŚLĄSKIE;2011;przeciwko rodzinie i opiece;-;2803.0
200000;DOLNOŚLĄSKIE;2011;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4431.0
200000;DOLNOŚLĄSKIE;2011;przeciwko życiu i zdrowiu;-;2889.0
200000;DOLNOŚLĄSKIE;2012;o charakterze gospodarczym;-;14953.0
200000;DOLNOŚLĄSKIE;2012;o charakterze kryminalnym;-;83972.0
200000;DOLNOŚLĄSKIE;2012;ogółem;-;115116.0
200000;DOLNOŚLĄSKIE;2012;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;12816.0
200000;DOLNOŚLĄSKIE;2012;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;12975.0
200000;DOLNOŚLĄSKIE;2012;przeciwko mieniu;-;71480.0
200000;DOLNOŚLĄSKIE;2012;przeciwko rodzinie i opiece;-;2519.0
200000;DOLNOŚLĄSKIE;2012;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;5046.0
200000;DOLNOŚLĄSKIE;2012;przeciwko życiu i zdrowiu;-;2587.0
200000;DOLNOŚLĄSKIE;2013;o charakterze gospodarczym;-;14542.0
200000;DOLNOŚLĄSKIE;2013;o charakterze kryminalnym;-;80878.0
