Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
17;Niesłysz;18.06.2010;20;1000;670,67;1,49;8,2;1,23;74,27;12,7;5,43;2,78;0,07;2,09;0,18;1,21;0,14;0,58
18;Rogóźno;02.06.2010;20;1000;641,29;1,43;20,16;2,03;13,34;4,88;2,96;1,59;0,22;5,3;0,3;7,94;0,44;1,5
1;Kraków Tyniec;08.10.2010;20;1000;793,9;1,76;5,1;0,14;28,42;6,17;8,26;3,39;0,29;5,66;0,49;4,52;0,32;0,8
2;Annopol;30.10.2010;20;1000;709,47;1,58;1,21;0,06;21,37;5,19;5,6;2,78;0,26;1,57;0,17;3,57;0,28;2,27
3;Warszawa;23.09.2010;20;1000;555,29;1,23;5,49;0,82;53,32;5,89;3,25;2,19;0,06;2,34;0,23;5,7;0,36;2,44
4;Płock;24.09.2010;20;1000;654,09;1,45;1,64;0,05;13,39;4,54;3,99;2,71;0,3;1,97;0,2;5,31;0,22;2,7
5;Kiezmark;20.10.2010;20;1000;725,64;1,61;1,06;0,04;14,36;5,2;<2;;;2,72;0,25;4,62;0,34;1,7
6;Pułtusk;24.09.2010;20;1000;731,43;1,63;6,41;0,16;10,24;2,37;<2;;;1,59;0,18;4,98;0,19;3,13
7;Wyszków;24.09.2010;20;1000;557,51;1,24;9,56;0,11;84,87;13,01;20,39;6,05;0,24;1,63;0,17;6,67;0,42;4,09
8;Chałupki;08.10.2010;20;1000;446,29;0,99;9,63;0,63;74,86;13,56;<2;;;3,21;0,27;3,72;0,29;1,16
9;Wrocław;09.10.2010;20;1000;635,3;1,41;6,26;0,22;42,83;9,93;<2;;;2,69;0,24;4,72;0,31;1,75
10;Głogów;18.10.2010;20;1000;544,75;1,21;17,76;0,45;65,46;9,65;6,98;3,13;0,11;9,97;0,32;2,05;0,21;0,21
11;Krajnik;21.10.2010;20;1000;738,9;1,64;1,65;0,08;19,9;9,33;4,33;1,98;0,22;3,04;0,23;4,51;0,31;1,48
