Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Braszowice,PDH9,"16,7975","50,553611",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_001,Dzień 16h,61
dolnośląskie,Braszowice,PDH9,"16,7975","50,553611",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_001,Noc 8h,"58,9"
dolnośląskie,Trzebnica,PPH01,"17,07275","51,305583","Państwowy monitoring środowiska, art. 26 Poś",2018-08-07 15:55:00,2018-11-22 19:30:00,"Trzebnica, ul. Oleśnicka",D_02_000345_001,Dzień 16h,"66,5"
dolnośląskie,Trzebnica,PPH01,"17,07275","51,305583","Państwowy monitoring środowiska, art. 26 Poś",2018-10-08 22:00:00,2018-10-09 06:00:00,"Trzebnica, ul. Oleśnicka",D_02_000345_001,Noc 8h,"58,8"
dolnośląskie,Trzebnica,PPH02,"17,071583","51,310528","Państwowy monitoring środowiska, art. 26 Poś",2018-10-08 22:00:00,2018-10-09 06:00:00,"Trzebnica, ul. H. Brodatego",D_02_000344_001,Noc 8h,"59,8"
dolnośląskie,Trzebnica,PPH02,"17,071583","51,310528","Państwowy monitoring środowiska, art. 26 Poś",2018-11-08 15:02:00,2018-12-17 12:12:00,"Trzebnica, ul. H. Brodatego",D_02_000344_001,Dzień 16h,"70,1"
dolnośląskie,Trzebnica,PPH03,"17,061361","51,315281","Państwowy monitoring środowiska, art. 26 Poś",2018-04-18 10:47:00,2018-12-13 19:10:00,"Trzebnica, ul. Prusicka",D_02_000343_001,Dzień 16h,"68,2"
dolnośląskie,Trzebnica,PPH03,"17,061361","51,315281","Państwowy monitoring środowiska, art. 26 Poś",2018-10-08 22:00:00,2018-10-09 06:00:00,"Trzebnica, ul. Prusicka",D_02_000343_001,Noc 8h,60
dolnośląskie,Trzebnica,PPH04,"17,053556","51,305553","Państwowy monitoring środowiska, art. 26 Poś",2018-04-19 09:18:00,2018-11-26 20:09:00,"Trzebnica, ul. Obornicka",D_02_000342_001,Dzień 16h,"67,6"
dolnośląskie,Trzebnica,PPH04,"17,053556","51,305553","Państwowy monitoring środowiska, art. 26 Poś",2018-10-09 22:00:00,2018-10-10 06:00:00,"Trzebnica, ul. Obornicka",D_02_000342_001,Noc 8h,"58,3"
dolnośląskie,Trzebnica,PPH05,"17,056917","51,305278","Państwowy monitoring środowiska, art. 26 Poś",2018-09-03 11:25:00,2018-11-26 19:03:00,"Trzebnica, ul. Żołnierzy Września",D_02_000346_001,Dzień 16h,"60,5"
dolnośląskie,Trzebnica,PPH05,"17,056917","51,305278","Państwowy monitoring środowiska, art. 26 Poś",2018-10-09 22:00:00,2018-10-10 06:00:00,"Trzebnica, ul. Żołnierzy Września",D_02_000346_001,Noc 8h,"50,4"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"63,4"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"63,8"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"64,3"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"64,4"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"64,5"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"64,6"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"65,3"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"65,8"
