Województwo,Miejscowość,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
kujawsko-pomorskie,,D_04_000241_001,"P13, Warlubie","18,609722","53,585583",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-03-03 14:00:00,2022-03-04 14:00:00,"A1, sekcja 6, Warlubie - Nowe Marzy",Noc 8h,"70,9"
kujawsko-pomorskie,,D_04_000241_002,"P14, Rulewo","18,612722","53,551889",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-03-03 14:00:00,2022-03-04 14:00:00,"A1, sekcja 6, Warlubie - Nowe Marzy",Dzień 16h,"70,1"
kujawsko-pomorskie,,D_04_000241_002,"P14, Rulewo","18,612722","53,551889",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-03-03 14:00:00,2022-03-04 14:00:00,"A1, sekcja 6, Warlubie - Nowe Marzy",Noc 8h,"65,1"
kujawsko-pomorskie,,D_04_000242_001,"P15, Sztywnag","18,687806","53,41525",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Dzień 16h,73
kujawsko-pomorskie,,D_04_000242_001,"P15, Sztywnag","18,687806","53,41525",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Noc 8h,"69,4"
kujawsko-pomorskie,,D_04_000242_002,"P16, Klęczkowo","18,688361","53,3805",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Dzień 16h,"74,9"
kujawsko-pomorskie,,D_04_000242_002,"P16, Klęczkowo","18,688361","53,3805",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Noc 8h,"70,9"
kujawsko-pomorskie,,D_04_000242_003,"P17, Lisewo","18,707333","53,300028",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Dzień 16h,"75,3"
kujawsko-pomorskie,,D_04_000242_003,"P17, Lisewo","18,707333","53,300028",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-28 14:00:00,2022-03-01 14:00:00,"A1, odcinek 2, Grudziądz - Lisewo",Noc 8h,"72,4"
kujawsko-pomorskie,,D_04_000243_001,"P18, Świętosław","18,724778","53,239333",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-24 12:00:00,2022-02-25 12:00:00,"A1, odcinek 3, Lisewo - Lubicz",Dzień 16h,"74,5"
kujawsko-pomorskie,,D_04_000243_001,"P18, Świętosław","18,724778","53,239333",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-24 12:00:00,2022-02-25 12:00:00,"A1, odcinek 3, Lisewo - Lubicz",Noc 8h,"69,8"
kujawsko-pomorskie,,D_04_000243_002,"P19, Kamionki Małe","18,738972","53,126861",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-24 12:00:00,2022-02-25 12:00:00,"A1, odcinek 3, Lisewo - Lubicz",Dzień 16h,"73,1"
